x,y,variance,acquisition
0.0,0.0,584.8262426689075,82.36793265791054,582.7414915057127
0.0,2.0,605.0287200625348,40.93177762654644,603.8682055533404
0.0,4.0,627.1863290425606,19.711056927182916,626.967850842924
0.0,8.0,675.0778454493811,10.184899132162787,676.6370498626407
0.0,10.0,699.6281804127555,12.07053265616519,701.934939049386
0.0,12.0,723.8115930284338,14.411306400819885,726.7187367870052
0.0,14.0,747.0954896627393,15.811833379498207,750.4272309685425
0.0,16.0,769.0033950916829,15.790414702697001,772.56784259761
0.0,18.0,789.1272415688211,14.469778111794257,792.7301767693316
0.0,20.0,807.1352859769725,12.296133292179075,810.5936750744947
0.0,22.0,822.7756092133577,9.809551373737978,825.9294638774838
0.0,24.0,835.8754650497676,7.480322713596099,838.5969280153058
0.0,26.0,846.3370208387801,5.617372318854215,848.5359087497899
0.0,30.0,859.2838676478533,3.635191830394342,860.3221783582183
0.0,32.0,861.8752960024007,3.370346906029964,862.3444397114728
0.0,34.0,862.02054691031,3.4150475230454367,861.9622311820334
0.0,38.0,855.5749717776334,4.081983678209914,854.6352534039233
0.0,40.0,849.3327213254477,4.648495391855215,848.0410195777033
0.0,42.0,841.3314124142971,5.358729278872954,839.7369304832076
0.0,44.0,831.7736378756255,6.161232353950886,829.9141887898662
0.0,46.0,820.8710135270895,6.939751057853105,818.7744580114531
0.0,48.0,808.8450937865026,7.53001894332154,806.5348986407976
0.0,50.0,795.9288915641164,7.784743684991844,793.4335636869066
0.0,52.0,782.368327834765,7.6852505632172665,779.7340383777852
0.0,54.0,768.4229482611314,7.490014281084118,765.7282641049726
0.0,56.0,754.3653279394198,7.906747115638283,751.7366510441545
0.0,60.0,727.0527939927471,16.749813720143692,725.196822488975
0.0,62.0,714.3772003291829,30.469018455937793,713.3844312771348
0.0,64.0,702.7335962126347,55.69354004650575,703.0337254547451
0.0,66.0,692.3861510680371,97.88103982974386,694.4889769577783
0.0,68.0,683.5713982268293,163.65338376942006,688.0553906607619
0.0,70.0,676.4880937647541,260.6041230058989,683.9818271048313
0.0,72.0,671.2879004280494,396.90003789744685,682.4449129865333
0.0,74.0,668.0676913157228,580.6550479557092,683.5359008637885
0.0,76.0,666.8641833934764,819.0974844886985,687.2514991829587
0.0,78.0,667.6514594959118,1117.6055309455735,693.4896436383549
0.0,80.0,670.3417316984007,1478.7376838310736,702.0508399019084
0.0,82.0,674.7894562193538,1901.4199089188864,712.64530274125
0.0,84.0,680.7986511496234,2380.4553085796233,724.9056800662602
0.0,86.0,688.1330156468118,2906.4887194589814,738.4047181311994
0.0,88.0,696.5282246966125,3466.4904828339777,752.6768316544865
0.0,90.0,705.705596688083,4044.733339817476,767.2422227535758
0.0,92.0,715.3862173542792,4624.143830364669,781.631972401214
0.0,94.0,725.3045631449602,5187.836588841496,795.41242670666
0.0,96.0,735.2207035785518,5720.604417304716,808.2072272505071
0.0,98.0,744.9302727120028,6210.147794479374,819.7154890959205
0.0,100.0,754.2715753747522,6647.88171458511,829.7249007460042
2.0,0.0,588.0522139360605,125.89524298523348,585.3839070383701
2.0,2.0,607.7032608390847,75.03116158488308,606.4512389708473
2.0,4.0,629.2204877521025,45.13629451733902,629.3180508416316
2.0,6.0,652.0506544478926,29.147915329786237,653.3867677861044
2.0,8.0,675.6188731101792,21.513724091448328,678.036358411128
2.0,10.0,699.3511091869698,18.21369432710764,702.6508932037574
2.0,12.0,722.6953704691389,16.619212129597337,726.6459248481347
2.0,14.0,745.1404540588106,15.249446884117814,749.4911464863288
2.0,16.0,766.2313390197464,13.480008575205527,770.7281331101392
2.0,18.0,785.5805890298041,11.248914127128732,789.9823977499778
2.0,20.0,802.8754411820188,8.793526807295807,806.9694619971158
2.0,24.0,830.4368903398101,4.467104675919473,833.4504388037974
2.0,26.0,840.4567860928556,3.0197225514995654,842.802654171302
2.0,30.0,852.8486714757659,1.6489399993892842,853.8723874009108
2.0,32.0,855.3289976718504,1.4995660653252079,855.7885211912997
2.0,40.0,843.3271229115581,2.4325532821715607,842.6778818386105
2.0,44.0,826.4822680979855,3.8474679932022187,825.8683755091947
2.0,46.0,816.0023605643959,4.731543538267056,815.469651885289
2.0,48.0,804.4248952722669,5.559921237732542,803.9810254190494
2.0,52.0,778.871844230455,6.430607154039564,778.576805656285
2.0,54.0,765.3790298030201,6.4247598282648894,765.1542556113659
2.0,56.0,751.7546832244196,6.5354902271990465,751.6334433570472
2.0,58.0,738.2739188920757,7.663927330489495,738.3393751019553
2.0,60.0,725.219596125958,11.438922251551967,725.621318196952
2.0,62.0,712.8759903469675,20.453346280606002,713.8428538910725
2.0,64.0,701.5206661879854,38.49388265380873,703.3684902644159
2.0,66.0,691.4150002777017,70.71721866523453,694.547619189883
2.0,68.0,682.7939790034502,123.70697653877123,687.6969044413961
2.0,70.0,675.8560200050351,205.3380219548133,683.0824039254705
2.0,72.0,670.7536232236379,324.38614506884664,680.9028369260536
2.0,74.0,667.5856417796664,489.85550878533866,681.2753958274675
2.0,76.0,666.3918750860203,710.0509042002581,684.2253697762953
2.0,78.0,667.1505332406418,991.486525498968,689.6806042125287
2.0,80.0,669.778915605969,1337.7818989238835,697.4714837583244
2.0,82.0,674.1374050556958,1748.7314901859104,707.3367232386443
2.0,84.0,680.0366233385345,2219.733726456694,718.9348150687846
2.0,86.0,687.2473444332127,2741.7223295365056,731.8605464286486
2.0,88.0,695.512543131983,3301.663422149166,745.6656022376005
2.0,90.0,704.5607844116277,3883.581600824313,759.8819427904396
2.0,92.0,714.1200503270309,4469.979464966296,774.0464152775065
2.0,94.0,723.9310646728679,5043.44113124199,787.7249457012365
2.0,96.0,733.7592147596342,5588.178659538275,800.5346718606959
2.0,98.0,743.4042811132872,6091.29820626437,812.1625187523697
