dx,gb,dz,gb_energy,variance,acquisition
0.0,1.0,0.1,1.0255295033201337,0.010240804927854261,1.0421144501983142
0.0,1.0,0.2,1.0151015480523187,0.012009878460740704,1.0594480340345822
0.0,1.0,0.3,1.0274715278373794,0.013088852113601022,1.093211910506114
0.0,1.0,0.4,1.060455770630292,0.01340947494349777,1.1348955513371564
0.0,1.0,0.5,1.1037888064134114,0.014627523445060003,1.1665798893721047
0.0,1.0,0.6,1.1381871103722139,0.016349886745279124,1.182189112027042
0.0,1.0,0.7,1.1543814052176171,0.015869562232177982,1.189190444497075
0.0,1.0,0.8,1.1629801137931934,0.013557128234172478,1.1964910858482973
0.0,1.0,1.0,1.191882127281851,0.01069538197723138,1.230802177000815
0.0,1.0,1.1,1.2029498759732113,0.010470891875037363,1.2519314503685717
0.0,1.0,1.3,1.2156953289141175,0.009143775393926058,1.2657249858304933
0.0,1.0,1.5,1.193228863740262,0.009189230346062598,1.2869879326485527
0.0,1.0,1.7,1.152464150339056,0.012115960247268387,1.2686070542177679
0.0,1.0,1.8,1.1331512180192158,0.014001775588337328,1.2352737956785393
0.0,1.0,1.9,1.1102772190644723,0.01398454943020861,1.1979371264794645
0.0,1.0,2.0,1.0930243152064851,0.013087260735935932,1.1509260939112014
0.0,1.0,2.1,1.09184876688051,0.012458599411580706,1.093388531180841
0.0,1.0,2.2,1.1074270736405352,0.01171000456582901,1.0484267137091712
0.0,1.0,2.3,1.1375043233295956,0.010347798596138796,1.0455124229143706
0.0,1.0,2.6,1.2510065343074614,0.00717068880095743,1.234819255274664
0.0,1.0,2.9,1.2223404472764539,0.0068610345103141375,1.2577345208364945
0.0,1.0,3.3,1.2300131225432882,0.008183959179064493,1.1962141784149238
0.0,1.0,3.5,1.1417474792471547,0.01323170230859781,1.2174461741440026
0.0,1.0,3.6,1.0973359225601984,0.016085660664046188,1.226891579973434
0.1,1.0,0.0,1.0559369142552304,0.009297532674210983,1.0601575168749078
0.1,1.0,0.1,1.0252744058603527,0.009764763561100913,1.0761567384349255
