actions,dx,gb,dz
14308,6.2,1.4,2.6
6037,0.1,1.2,0.6
9013,0.0,1.3,2.2
9050,0.1,1.3,2.2
15001,0.0,1.5,1.6
327,0.8,1.0,3.1
7169,3.1,1.2,2.8
7168,3.1,1.2,2.7
7132,3.0,1.2,2.8
290,0.7,1.0,3.1
7206,3.2,1.2,2.8
7243,3.3,1.2,2.8
15042,0.1,1.5,2.0
291,0.7,1.0,3.2
7205,3.2,1.2,2.7
7242,3.3,1.2,2.7
7204,3.2,1.2,2.6
14955,8.0,1.4,0.7
7095,2.9,1.2,2.8
253,0.6,1.0,3.1
9051,0.1,1.3,2.3
7131,3.0,1.2,2.7
7241,3.3,1.2,2.6
7167,3.1,1.2,2.6
