actions,dx,gb,dz
6253,0.7,1.2,0.0
17284,6.2,1.5,0.5
14983,8.0,1.4,3.5
16007,2.7,1.5,2.3
14380,6.4,1.4,2.4
15996,2.7,1.5,1.2
15225,0.6,1.5,1.8
17951,8.0,1.5,0.6
15629,1.7,1.5,1.5
373,1.0,1.0,0.3
16972,5.3,1.5,2.6
15686,1.8,1.5,3.5
189,0.5,1.0,0.4
15421,1.1,1.5,2.9
6175,0.4,1.2,3.3
17097,5.7,1.5,0.3
11769,7.5,1.3,0.3
16852,5.0,1.5,1.7
16583,4.3,1.5,0.7
9369,1.0,1.3,0.8
17458,6.6,1.5,3.1
15406,1.1,1.5,1.4
17703,7.3,1.5,1.7
13016,2.7,1.4,2.9
