dx,gb,dz,gb_energy,variance,acquisition
0.0,1.0,0.1,1.150570233347983,0.0010404058747299624,1.1495231441043103
0.0,1.0,0.2,1.151856343822077,0.0009495445440275361,1.147873408530146
0.0,1.0,0.3,1.1521619466662427,0.000880889785010897,1.144563238767916
0.0,1.0,0.4,1.151374668598343,0.0008331187617519294,1.1398445246355524
0.0,1.0,0.7,1.142407601261046,0.0007912987945102065,1.120594510258476
0.0,1.0,0.8,1.1375880992810299,0.0008018963651922014,1.113746743348448
0.0,1.0,0.9,1.1322150506253852,0.0008202103003265026,1.1073187340861192
0.0,1.0,1.1,1.1210090418077463,0.0008700933740480694,1.0970381183628315
0.0,1.0,1.2,1.1158118059301996,0.0008968846559515679,1.0937095416614768
0.0,1.0,1.3,1.1112856040422754,0.0009218041316529714,1.0918304818731608
0.0,1.0,1.5,1.1051841444659247,0.0009584415821198202,1.0927250290494277
0.0,1.0,1.6,1.1039108850017034,0.0009681706733036139,1.0954766432314653
0.0,1.0,1.7,1.1038946791740272,0.0009724525424802315,1.099641112885313
0.0,1.0,1.8,1.105090075124074,0.0009724970766895629,1.1050529051460998
0.0,1.0,1.9,1.107378463203215,0.0009697062336980196,1.1114968266012424
0.0,1.0,2.0,1.110579524375624,0.0009650197125951372,1.1187168432945376
0.0,1.0,2.4,1.1276496810895973,0.0009171284405783681,1.14943245297489
0.0,1.0,2.5,1.1317011767360952,0.0008932888304548209,1.1560783195136157
0.0,1.0,2.6,1.1352155780475177,0.000865446398875941,1.1617961823018959
0.0,1.0,2.7,1.138032091038996,0.0008360350514801642,1.1664126063187576
0.0,1.0,2.9,1.14116617099758,0.0007853703926508674,1.1719923875896476
0.0,1.0,3.0,1.1413997844396062,0.0007707568330549841,1.172965438440677
0.0,1.0,3.1,1.1407606494823626,0.0007675114666062481,1.1728485558384794
0.1,1.0,0.0,1.143247272248083,0.0011217234027585553,1.1517269370028593
0.1,1.0,0.1,1.1452562003009046,0.0010080045086837545,1.1518658462638693
0.1,1.0,0.2,1.1464816733286551,0.0009167710693320272,1.1501084998828597
0.1,1.0,0.4,1.1459592174950755,0.0007998442983761071,1.1416918404408132
0.1,1.0,0.5,1.1440490938511103,0.00077062331138597,1.1356128294198264
0.1,1.0,0.6,1.1410545649771906,0.0007574528084256359,1.128767049665242
0.1,1.0,0.7,1.1370856034971675,0.0007574093459928268,1.1215550924315172
0.1,1.0,0.9,1.127025361058827,0.0007853991143891055,1.1076430086901192
0.1,1.0,1.0,1.1214743919759815,0.0008082989284358414,1.1016892289404787
0.1,1.0,1.1,1.1159907510976095,0.0008339966911731836,1.096826243479765
0.1,1.0,1.2,1.110891749443761,0.0008602097079039316,1.093294633203989
0.1,1.0,1.3,1.106471459403353,0.0008846933474129118,1.0912637276964945
0.1,1.0,1.4,1.1029791881594984,0.0009054194137530219,1.0908280329705233
0.1,1.0,1.6,1.099451902131768,0.0009305260018070742,1.0947495098226305
0.1,1.0,1.7,1.0995609201016479,0.0009346662694068779,1.0989362360405937
0.1,1.0,1.9,1.1032878138430235,0.0009313354914822401,1.1108810181866664
0.1,1.0,2.0,1.1065987807674307,0.000926227080485234,1.1181407041087743
0.1,1.0,2.1,1.1105821858502498,0.0009192534603004408,1.1258694537298233
0.1,1.0,2.2,1.1149783488106988,0.0009096220657052599,1.1337514361828962
0.1,1.0,2.3,1.1195176355969165,0.0008960886110949794,1.1414688198595317
0.1,1.0,2.4,1.1239382744287696,0.0008776838776233017,1.1487176670784347
0.1,1.0,2.5,1.128001988094622,0.0008543888710285238,1.1552244586461577
0.1,1.0,2.6,1.1315064281927116,0.0008274599830745283,1.1607621463306566
0.1,1.0,2.7,1.134293789762562,0.000799296319173206,1.1651642696910267
0.1,1.0,2.8,1.1362553960446493,0.0007729794620431153,1.1683354702674085
0.1,1.0,2.9,1.137332428651898,0.000751765715616245,1.170256769619308
0.1,1.0,3.0,1.1375133008012501,0.0007387901025386506,1.1709842923583844
0.1,1.0,3.1,1.1368284033732177,0.0007370702924168488,1.1706407088714683
0.1,1.0,3.3,1.1331497147161265,0.0007798889073962006,1.1674630235533965
0.1,1.0,3.4,1.1303597172749529,0.0008309279223694827,1.165036534616155
0.1,1.0,3.5,1.127096086030751,0.0009055647541470908,1.1623006219185963
0.1,1.0,3.6,1.1234869703376285,0.0010054302623331778,1.1593855974940015
0.2,1.0,0.0,1.1378684984130083,0.001094675629676234,1.1537232241038866
0.2,1.0,0.1,1.1397860340517274,0.0009807684265598297,1.1538105496945157
0.2,1.0,0.2,1.1409523187508919,0.0008893846965429047,1.1519488587756852
0.2,1.0,0.3,1.141195867130351,0.0008202871034983265,1.1483151648286245
0.2,1.0,0.4,1.1403984820441726,0.0007721191093066089,1.1431702450790504
0.2,1.0,0.5,1.1385100679384532,0.000742672649382395,1.1368451860802882
0.2,1.0,0.6,1.1355577693573635,0.0007292029297009801,1.129723048334869
0.2,1.0,0.7,1.131648362255259,0.0007287493661823921,1.1222171953116837
0.2,1.0,0.8,1.1269635087342715,0.0007384118285123428,1.1147481259206053
0.2,1.0,0.9,1.1217482087045314,0.0007555230565287927,1.1077207025608988
0.2,1.0,1.1,1.1109147433539002,0.0008026390992532518,1.0964115099794915
0.2,1.0,1.2,1.1059282165943527,0.0008282090696234718,1.0926933543411101
0.2,1.0,1.3,1.1016269414960687,0.0008522004060461419,1.0905228120006705
0.2,1.0,1.4,1.0982591083255346,0.0008725926319918309,1.089995018947867
0.2,1.0,1.5,1.0960102257040236,0.0008878572366291272,1.0911265287774876
0.2,1.0,1.6,1.0949906863301573,0.0008973024613561409,1.0938586462735118
0.2,1.0,1.7,1.0952296007571114,0.0009012274534698522,1.0980633143442133
0.2,1.0,1.8,1.096675170507521,0.0009007333717273397,1.1035509764537677
0.2,1.0,1.9,1.0992012605330437,0.0008972047340847488,1.1100800484553233
0.2,1.0,2.0,1.1026192872287035,0.0008916633937318644,1.1173678561574079
0.2,1.0,2.1,1.10669411333616,0.0008842989232619393,1.1251030532083925
0.2,1.0,2.2,1.1111623706371303,0.0008744220114278373,1.1329595681828522
0.2,1.0,2.3,1.115751532112132,0.0008608893541588289,1.1406120088057294
0.2,1.0,2.4,1.1201981246906296,0.0008428122661735399,1.1477521804750748
0.2,1.0,2.5,1.1242636916831001,0.0008202182478795119,1.154105999052435
0.2,1.0,2.6,1.1277474461667691,0.0007943674147997532,1.1594496694846539
0.2,1.0,2.7,1.1304949593675793,0.0007676163327779734,1.1636236563511118
0.2,1.0,3.0,1.1335378536716545,0.0007123549244476798,1.168668554336147
0.2,1.0,3.2,1.1312778963890113,0.0007263909184671202,1.1666349059321839
0.2,1.0,3.3,1.1290715352756193,0.0007578289087778748,1.1645377251484472
0.2,1.0,3.4,1.1262983732533338,0.000809898223478777,1.162008348692209
0.2,1.0,3.6,1.119564295692983,0.0009861549423502514,1.1563508103775035
0.3,1.0,0.0,1.1323677921563173,0.001072380500033038,1.1553193917572135
0.3,1.0,0.1,1.1341944500879213,0.0009585618918226513,1.1553527289526249
0.3,1.0,0.3,1.1355224844428908,0.0007981064980873619,1.149612868674321
0.3,1.0,0.5,1.132871106940597,0.0007200686477632627,1.1377318685953297
