actions,dx,gb,dz
15995,2.7,1.5,1.1
3197,0.5,1.1,1.5
8347,6.3,1.2,2.2
15996,2.7,1.5,1.2
16033,2.8,1.5,1.2
8384,6.4,1.2,2.2
3160,0.4,1.1,1.5
3234,0.6,1.1,1.5
15959,2.6,1.5,1.2
3159,0.4,1.1,1.4
16032,2.8,1.5,1.1
15958,2.6,1.5,1.1
15997,2.7,1.5,1.3
16070,2.9,1.5,1.2
3196,0.5,1.1,1.4
15873,2.4,1.5,0.0
16034,2.8,1.5,1.3
15960,2.6,1.5,1.3
1208,3.2,1.0,2.4
17862,7.7,1.5,2.8
8310,6.2,1.2,2.2
2246,6.0,1.0,2.6
3233,0.6,1.1,1.4
16069,2.9,1.5,1.1
