actions,dx,gb,dz
17472,6.7,1.5,0.8
17909,7.9,1.5,0.1
17233,6.0,1.5,2.8
2851,7.7,1.0,0.2
16418,3.8,1.5,2.7
11694,7.3,1.3,0.2
1359,3.6,1.0,2.7
1065,2.8,1.0,2.9
16566,4.2,1.5,2.7
14119,5.7,1.4,2.2
6900,2.4,1.2,1.8
12998,2.7,1.4,1.1
17910,7.9,1.5,0.2
15068,0.2,1.5,0.9
17908,7.9,1.5,0.0
17683,7.2,1.5,3.4
16716,4.6,1.5,2.9
10682,4.5,1.3,2.6
3173,0.4,1.1,2.8
9749,2.0,1.3,1.8
13311,3.5,1.4,2.8
1415,3.8,1.0,0.9
1462,3.9,1.0,1.9
12047,0.1,1.4,2.2
