actions,dx,gb,dz
1341,3.6,1.0,0.9
17697,7.3,1.5,1.1
14312,6.2,1.4,3.0
13215,3.3,1.4,0.6
13192,3.2,1.4,2.0
17693,7.3,1.5,0.7
1915,5.1,1.0,2.8
7129,3.0,1.2,2.5
10899,5.1,1.3,2.1
5588,7.0,1.1,0.1
7133,3.0,1.2,2.9
14388,6.4,1.4,3.2
13055,2.8,1.4,3.1
3710,1.9,1.1,1.0
12948,2.5,1.4,3.5
17732,7.4,1.5,0.9
13305,3.5,1.4,2.2
1803,4.8,1.0,2.7
15049,0.1,1.5,2.7
16798,4.9,1.5,0.0
16806,4.9,1.5,0.8
5667,7.2,1.1,0.6
16852,5.0,1.5,1.7
13230,3.3,1.4,2.1
