x,y,variance,acquisition
8.0,30.0,824.5552411283825,292.4650148310558,838.7327336789867
8.0,32.0,823.2767920806892,331.4145215544487,836.936911642797
8.0,34.0,821.006221053275,359.46184772737604,833.82874520324
8.0,36.0,818.1230671465303,375.1189978284761,829.7600478657253
8.0,38.0,814.8689782560266,378.7835953925734,824.9595992306323
8.0,40.0,811.3259610686634,372.07368958500393,819.5236879548343
8.0,42.0,807.426801691796,357.0935196934532,813.4373242422305
8.0,44.0,802.9946533516842,335.73486977610924,806.6204479856926
8.0,46.0,797.8039813011005,309.2540656512356,798.9888390857317
8.0,48.0,791.6516229352535,278.3821453533897,790.5168291456787
8.0,50.0,784.4252164815039,244.0267217797765,781.2888072738375
8.0,52.0,776.1568953489109,208.28507733246244,771.5289106318052
8.0,54.0,767.0527918128578,175.2127056172427,761.6027086075403
8.0,56.0,757.4930617652877,150.77163617282451,751.9902506488519
8.0,58.0,748.0021029746181,141.67365708643064,743.2354538983523
8.0,60.0,739.1935465400982,153.32288873871653,735.8813566229682
8.0,62.0,731.6986394269018,187.53736748011033,730.4033711299909
8.0,64.0,726.0891592634225,240.9827429155966,727.1528407308786
8.0,66.0,722.8066407229774,305.1609453088388,726.3209337362589
8.0,68.0,722.1084059405636,368.357962564586,727.9286767365522
8.0,70.0,724.0379654122056,419.2774167155066,731.8436134091663
8.0,72.0,728.4233409016606,451.37693047894015,737.8182612955196
8.0,74.0,734.9024672450195,466.4472127014535,745.5413085363659
8.0,76.0,742.9707948875332,475.97369666691884,754.690201440892
8.0,78.0,752.0431802827889,499.40524697030594,764.9738795349123
8.0,80.0,761.5205538533868,559.4947527199256,776.1568836573831
8.0,82.0,770.851863843444,676.0005680502709,788.0603763518181
8.0,84.0,779.5832960928809,859.7649695867499,800.540874006069
8.0,86.0,787.3894066446609,1109.1565087942768,813.4526009710897
8.0,88.0,794.0840514873888,1410.042669017608,826.6032662216153
8.0,90.0,799.6122671015124,1739.1845297343075,839.7149053056181
8.0,92.0,804.0270020458104,2069.7684906878985,852.4008099191998
10.0,0.0,682.2139237368689,1401.460645121913,656.8336169552595
10.0,2.0,681.4064845611933,1170.3420251531154,661.5728976056263
10.0,4.0,684.7135065588285,969.5065831237606,670.0279408269519
10.0,6.0,692.0358130668383,796.1601406876059,681.9359885510593
10.0,8.0,702.9523735308873,643.7195782892472,696.7838166216474
10.0,10.0,716.75405467365,505.8392361293995,713.8380358494221
10.0,12.0,732.5113989899012,379.8437985010443,732.2024879046609
10.0,14.0,749.168611164937,267.95069191275354,750.8973419673318
10.0,16.0,765.651953177698,175.83434374456408,768.950547595255
10.0,18.0,780.9784054921402,109.44623807963944,785.489630324699
10.0,20.0,794.3501818418689,71.79795773081094,799.8210397803958
10.0,22.0,805.2226005331966,61.24657624190739,811.4856565613323
10.0,24.0,813.3366709211336,71.88007422205227,820.2825081898828
10.0,26.0,818.7129773688392,95.49215907273228,826.2577065204644
10.0,28.0,821.6092224297082,123.984144070264,829.6612517197967
10.0,30.0,822.4492061496389,151.10490878382362,830.8796397162646
10.0,32.0,821.7351952409736,173.04649261810164,830.3561783324108
10.0,34.0,819.9578955013765,188.09387544690418,828.5128025684611
10.0,36.0,817.5182171868529,195.88555866108825,825.6866003992984
10.0,38.0,814.6727279940754,196.7714193560413,822.0912981311648
10.0,40.0,811.5105119010599,191.44263679534816,817.8091465396433
10.0,42.0,807.9637971859489,180.74338536283304,812.812893124126
10.0,44.0,803.8490793327602,165.52654054704448,807.0119089658847
10.0,46.0,798.9304798449325,146.54715685804996,800.3121271188182
10.0,48.0,792.993565895405,124.52264014644246,792.6770793415395
10.0,50.0,785.9163660337356,100.47276363766049,784.1774293894726
10.0,52.0,777.7250617487024,76.26848746966463,775.0189493068885
10.0,54.0,768.6246413613608,55.08791592064293,765.5433477902525
10.0,56.0,758.9991554510917,41.36950788573,756.2018391716467
10.0,58.0,749.3813472316741,39.972642522930755,747.5067432636064
10.0,60.0,740.3964705519813,54.588342696356264,739.9706568972935
10.0,62.0,732.6892171641758,85.86248384763691,734.0450003840593
10.0,64.0,726.8452012989059,130.0178623667988,730.0695835323253
10.0,66.0,723.3190302263273,178.81652277686723,728.2423147465348
10.0,68.0,722.3796026323032,221.38844862629014,728.6138308616133
10.0,70.0,724.0802330224434,247.7966752969464,731.1065625972727
10.0,72.0,728.2570764000067,253.40719626146026,735.5526643446166
10.0,74.0,734.5548546525728,242.51625334416812,741.741383716316
10.0,76.0,742.4748179183025,229.60470782355168,749.4646289243306
10.0,78.0,751.4368552169962,237.2175462678099,758.5500949432703
10.0,80.0,760.846128910179,290.6651028796771,768.8742173598336
10.0,82.0,770.1547004346992,411.04686227007596,780.3518415358957
10.0,84.0,778.9102067845082,608.9102803454962,792.9048692114677
10.0,86.0,786.7863595094103,880.7493757476391,806.4171518238384
10.0,88.0,793.5933287406787,1209.5169981484592,820.6864767556314
10.0,90.0,799.2693455691546,1568.8223090665892,835.3858548684107
12.0,0.0,669.7463066042236,1152.759424064709,638.306575108457
12.0,2.0,668.283159308686,913.1058288551532,643.0721876242108
12.0,4.0,671.2650677053286,716.5397427995765,651.8229210051736
12.0,6.0,678.6063718113589,560.0053160668722,664.2367751718764
12.0,8.0,689.8736773582068,434.826299310305,679.7428810843742
12.0,10.0,704.321961743211,331.08388216510116,697.556942136603
12.0,12.0,720.9672011327069,241.70987959718366,716.7423213517056
12.0,14.0,738.6869608985619,164.5039612580249,736.2910340532746
12.0,16.0,756.336218220855,101.42101932173915,755.2152088868814
12.0,18.0,772.8632918788894,55.88055747113374,772.6371790291381
12.0,20.0,787.4105767035005,29.74141798000968,787.8658302386698
12.0,22.0,799.3869084072335,21.521051088744166,800.4484051151908
12.0,24.0,808.5025337835891,26.55718146395204,810.1904874335587
12.0,26.0,814.7632093061933,38.69657636921733,817.1418214540967
12.0,28.0,818.4260344022798,52.39177768863733,821.5511138622882
12.0,30.0,819.9252795608861,64.1070758665488,823.7980308343572
12.0,32.0,819.7807891028465,72.53259031613669,824.3142955421508
12.0,34.0,818.503831936886,77.83347651066808,823.507401524028
12.0,36.0,816.5151805468995,80.59030626772045,821.6996544898542
12.0,38.0,814.0877526533408,81.05262461935946,819.0921642562487
12.0,40.0,811.3217747850216,78.9711253378656,815.758595350931
12.0,42.0,808.1548632266993,73.88532644957107,811.6678529492261
12.0,44.0,804.4035971157329,65.55293027460203,806.7294991617401
12.0,46.0,799.8280440078721,54.26102385448465,800.8515891838688
12.0,48.0,794.2071208889574,40.94263892065926,793.9985674201184
